timestamp,event_type,order_id,side,type,price,quantity
34200190,order,11885113,Buy,Limit,224,21
34200394,order,16207239,Sell,Limit,224,100
34200402,order,16208720,Sell,Limit,224,50
34200568,order,16240373,Sell,Limit,224,100
34200571,order,16240856,Sell,Limit,224,100
34200574,order,16241642,Sell,Limit,224,100
34200631,order,16252480,Sell,Limit,224,100
34200772,order,16275687,Sell,Limit,224,75
34200874,order,16289323,Buy,Limit,224,100
34200882,order,16290483,Buy,Limit,224,100
34201291,order,16352638,Sell,Limit,224,100
34202279,order,16451737,Buy,Limit,224,100
34203879,order,16610191,Sell,Limit,224,100
34204355,order,16657800,Sell,Limit,224,100
34204477,order,16667397,Sell,Limit,224,100
34204652,order,16681306,Sell,Limit,224,1100
34204764,order,16692138,Sell,Limit,224,100
34205104,order,16723342,Sell,Limit,224,100
34205105,order,16723399,Sell,Limit,224,220
34205107,order,16723613,Sell,Limit,224,220
34205109,order,16723877,Sell,Limit,224,220
34205110,order,16723916,Sell,Limit,224,155
34205162,order,16728917,Sell,Limit,224,100
34205198,order,16732821,Buy,Limit,224,100
34205514,order,16763343,Sell,Limit,224,100
34205888,order,16797917,Sell,Limit,224,100
34205919,order,16799433,Sell,Limit,224,100
34206152,order,16811014,Sell,Limit,224,100
34206555,order,16830499,Buy,Limit,224,100
34207272,order,16866136,Buy,Limit,224,87
34207312,order,16867608,Buy,Limit,224,87
34207410,order,16873976,Buy,Limit,224,87
34207718,order,16887475,Sell,Limit,224,29
34208996,order,16929385,Buy,Limit,224,77
34209339,order,16943725,Buy,Limit,224,100
34209710,order,16954459,Sell,Limit,224,29
34209767,order,16956634,Sell,Limit,224,29
34209787,order,16958151,Sell,Limit,224,29
34210206,order,16984035,Buy,Limit,224,100
34210515,order,17004982,Sell,Limit,224,29
34210706,order,17017091,Sell,Limit,224,29
34210910,order,17030256,Sell,Limit,224,29
34211619,order,17063006,Sell,Limit,224,400
34212162,order,17084297,Buy,Limit,224,100
34212374,order,17094470,Buy,Limit,224,100
34212376,order,17094575,Buy,Limit,224,100
34212376,order,17094576,Buy,Limit,224,100
34212488,order,17097634,Buy,Limit,224,100
34212530,order,17099230,Buy,Limit,224,87
34212678,order,17103292,Buy,Limit,224,87
34213187,order,17118179,Buy,Limit,224,100
34213228,order,17119109,Buy,Limit,224,87
34213324,order,17121862,Buy,Limit,224,100
34215152,order,17169116,Buy,Limit,224,100
34215180,order,17170140,Buy,Limit,224,100
34219517,order,17329820,Sell,Limit,224,100
34220233,order,17358208,Buy,Limit,224,77
34220534,order,17365824,Sell,Limit,224,1
34223368,order,17454308,Sell,Limit,224,100
34226019,order,17523948,Sell,Limit,224,100
34226025,order,17524292,Buy,Limit,224,100
34227239,order,17556978,Sell,Limit,224,100
34228611,order,17654389,Sell,Limit,224,100
34228613,order,17654460,Buy,Limit,224,100
34229065,order,17669020,Buy,Limit,224,100
34229344,order,17678897,Buy,Limit,224,77
34229345,order,17678938,Buy,Limit,224,100
34229356,order,17679258,Buy,Limit,224,100
34229853,order,17693590,Buy,Limit,224,87
34229931,order,17695622,Buy,Limit,224,100
34229933,order,17695670,Buy,Limit,224,100
34230014,order,17700167,Buy,Limit,224,87
34230478,order,17720413,Buy,Limit,224,100
34232522,order,17791392,Buy,Limit,224,100
34232574,order,17794177,Buy,Limit,224,100
34232672,order,17796697,Buy,Limit,224,100
34232936,order,17802947,Buy,Limit,224,87
34233076,order,17808169,Buy,Limit,224,100
34233222,order,17813325,Buy,Limit,224,87
34233257,order,17814130,Buy,Limit,224,87
34233408,order,17822817,Buy,Limit,224,87
34233418,order,17823745,Buy,Limit,224,100
34233433,order,17824285,Buy,Limit,224,100
34233619,order,17831626,Buy,Limit,224,100
34233630,order,17832110,Buy,Limit,224,100
34233765,order,17835914,Buy,Limit,224,100
34233770,order,17836088,Buy,Limit,224,100
34234164,order,17851126,Buy,Limit,224,100
34234384,order,17866270,Sell,Limit,224,300
34234387,order,17866342,Sell,Limit,224,100
34235012,order,17889188,Buy,Limit,224,100
34237492,order,17963067,Buy,Limit,224,100
34237636,order,17967562,Buy,Limit,224,67
34240011,order,18040154,Buy,Limit,224,100
34240012,order,18040192,Sell,Limit,224,100
34240023,order,18040889,Buy,Limit,224,100
34240027,order,18041087,Buy,Limit,224,100
34240345,order,18049859,Buy,Limit,224,77
34241700,order,18082568,Buy,Limit,224,100
34242016,order,18089311,Buy,Limit,224,100
34244431,order,18148394,Buy,Limit,224,31
34245256,order,18172812,Buy,Limit,224,16
34245512,order,18178733,Sell,Limit,224,200
34245513,order,18178856,Buy,Limit,224,200
34245513,order,18178858,Buy,Limit,224,200
34245513,order,18178865,Buy,Limit,224,200
34245515,order,18179205,Sell,Limit,224,100
34246034,order,18193981,Sell,Limit,224,200
34246036,order,18194101,Sell,Limit,224,100
34250017,order,18286174,Buy,Limit,224,10
34250018,order,18286315,Buy,Limit,224,10
34250019,order,18286630,Buy,Limit,224,10
34250021,order,18287021,Buy,Limit,224,10
34250023,order,18287108,Buy,Limit,224,10
34250026,order,18287319,Buy,Limit,224,10
34250028,order,18287475,Buy,Limit,224,10
34250040,order,18288158,Buy,Limit,224,10
34250043,order,18288309,Buy,Limit,224,10
34250045,order,18288361,Buy,Limit,224,10
34250062,order,18289006,Buy,Limit,224,10
34250065,order,18289230,Buy,Limit,224,10
34250067,order,18289323,Buy,Limit,224,10
34250118,order,18290737,Buy,Limit,224,10
34250122,order,18290793,Buy,Limit,224,10
34250125,order,18290838,Buy,Limit,224,10
34250141,order,18291165,Buy,Limit,224,10
34250145,order,18291275,Buy,Limit,224,10
34250147,order,18291334,Buy,Limit,224,10
34250162,order,18291715,Buy,Limit,224,10
34250166,order,18291916,Buy,Limit,224,10
34250169,order,18291991,Buy,Limit,224,10
34250193,order,18292501,Buy,Limit,224,10
34250196,order,18292582,Buy,Limit,224,10
34250199,order,18292645,Buy,Limit,224,10
34250516,order,18298729,Buy,Limit,224,10
34250519,order,18298826,Buy,Limit,224,10
34250522,order,18298903,Buy,Limit,224,10
34251918,order,18333357,Buy,Limit,224,10
34251922,order,18333652,Buy,Limit,224,10
34251924,order,18333775,Buy,Limit,224,10
34252029,order,18340262,Buy,Limit,224,10
34252033,order,18341360,Buy,Limit,224,10
34252036,order,18342535,Buy,Limit,224,10
34252048,order,18344659,Buy,Limit,224,10
34252051,order,18344995,Buy,Limit,224,10
34252053,order,18345223,Buy,Limit,224,10
34252171,order,18352030,Sell,Limit,224,1
34256198,order,18430161,Sell,Limit,224,200
34256201,order,18430228,Sell,Limit,224,100
34262076,order,18622989,Sell,Limit,224,100
34262079,order,18623148,Sell,Limit,224,100
34269584,order,18813442,Sell,Limit,224,183
34269588,order,18813484,Sell,Limit,224,100
34269864,order,18819065,Sell,Limit,224,8
34271769,order,18877451,Buy,Limit,224,1
34273778,order,18930320,Buy,Limit,224,100
34275373,order,18966278,Buy,Limit,224,100
34275410,order,18966862,Sell,Limit,224,1
34276757,order,18992920,Sell,Limit,224,1
34288734,order,19300526,Buy,Limit,224,100
34289501,order,19314473,Sell,Limit,224,100
34289504,order,19314520,Sell,Limit,224,100
34303450,order,19620235,Sell,Limit,224,1
34303775,order,19626727,Buy,Limit,224,100
34303775,order,19626737,Buy,Limit,224,100
34303886,order,19628332,Sell,Limit,224,10
34303886,order,19628333,Buy,Limit,224,100
34304260,order,19653110,Sell,Limit,224,1
34307762,order,19731576,Sell,Limit,224,10
34307806,order,19732295,Sell,Limit,224,10
34307879,order,19733385,Sell,Limit,224,1
34307901,order,19733687,Sell,Limit,224,10
34307975,order,19736143,Sell,Limit,224,10
34309168,order,19774189,Sell,Limit,224,10
34309172,order,19774450,Sell,Limit,224,10
34309730,order,19791130,Buy,Limit,224,100
34309815,order,19793043,Sell,Limit,224,10
34309821,order,19793184,Sell,Limit,224,10
34309827,order,19793341,Sell,Limit,224,10
34309875,order,19794320,Sell,Limit,224,10
34309935,order,19795607,Sell,Limit,224,10
34310050,order,19808492,Buy,Limit,224,100
34310251,order,19818565,Sell,Limit,224,10
34310319,order,19822943,Sell,Limit,224,1
34310320,order,19823062,Sell,Limit,224,1
34311249,order,19846261,Buy,Limit,224,100
34312998,order,19879921,Sell,Limit,224,1
34318694,order,19985448,Sell,Limit,224,99
34318955,order,19990731,Buy,Limit,224,94
34326285,order,20164379,Sell,Limit,224,100
34329734,order,20254663,Buy,Limit,224,100
