timestamp,event_type,order_id,side,type,price,quantity
34200154,order,16155653,Buy,Limit,579,100
34200202,order,4773921,Sell,Limit,580,25
34200207,order,16167456,Sell,Limit,579,1
34200208,order,16167632,Buy,Limit,579,99
34200502,order,16228038,Sell,Limit,580,100
34200502,order,16228180,Sell,Limit,580,10
34200633,order,16252843,Buy,Limit,579,100
34200764,order,16274753,Sell,Limit,580,100
34202473,order,16477262,Sell,Limit,580,100
34202473,order,16477281,Sell,Limit,580,100
34204320,order,16654914,Sell,Limit,580,100
34204321,order,16654928,Sell,Limit,580,100
34204636,order,16680220,Sell,Limit,580,2300
34204636,order,16680228,Sell,Limit,580,400
34206027,order,16805354,Buy,Limit,579,28
34206027,order,16805379,Buy,Limit,579,78
34206028,order,16805526,Buy,Limit,579,22
34206029,order,16805605,Buy,Limit,579,4
34206030,order,16805645,Buy,Limit,579,6
34206030,order,16805664,Buy,Limit,579,7
34206030,order,16805675,Buy,Limit,579,10
34206031,order,16805696,Buy,Limit,579,9
34206031,order,16805716,Buy,Limit,579,24
34206391,order,16822527,Sell,Limit,580,260
34206393,order,16822681,Sell,Limit,580,260
34206395,order,16822749,Sell,Limit,580,260
34206397,order,16822847,Sell,Limit,580,260
34206399,order,16822977,Sell,Limit,580,260
34206401,order,16823104,Sell,Limit,580,260
34206403,order,16823214,Sell,Limit,580,260
34206406,order,16823323,Sell,Limit,580,260
34206408,order,16823470,Sell,Limit,580,260
34206410,order,16823634,Sell,Limit,580,260
34206412,order,16823779,Sell,Limit,580,260
34206414,order,16823945,Sell,Limit,580,260
34207657,order,16883952,Sell,Limit,580,260
34207660,order,16884073,Sell,Limit,580,260
34207663,order,16884221,Sell,Limit,580,260
34207665,order,16884363,Sell,Limit,580,260
34207668,order,16884483,Sell,Limit,580,260
34207670,order,16884674,Sell,Limit,580,260
34207674,order,16885333,Sell,Limit,580,260
34207676,order,16885580,Sell,Limit,580,260
34207679,order,16885653,Sell,Limit,580,260
34207681,order,16885764,Sell,Limit,580,260
34207684,order,16885944,Sell,Limit,580,260
34207687,order,16886066,Sell,Limit,580,260
